,v5 mAP95(B),v6 mAP95(B),v8 mAP95(B)
0,0.03559,0.00263,0.14986
1,0.18337,0.02221,0.20059
2,0.20149,0.0243,0.21382
3,0.24524,0.02021,0.19903
4,0.26599,0.04454,0.23932
5,0.21893,0.04539,0.28313
6,0.29482,0.08411,0.2618
7,0.31169,0.07877,0.31389
8,0.31043,0.10849,0.30221
9,0.31649,0.12568,0.34092
10,0.32865,0.14057,0.3022
11,0.28782,0.10771,0.33761
12,0.34352,0.09764,0.34906
13,0.3279,0.13169,0.33682
14,0.35445,0.16192,0.36406
15,0.36071,0.15117,0.35871
16,0.34334,0.13157,0.34669
17,0.34467,0.15841,0.39127
18,0.3663,0.17115,0.38276
19,0.37015,0.185,0.37488
20,0.38169,0.21268,0.36962
21,0.38966,0.19972,0.37859
22,0.38066,0.21418,0.38243
23,0.36647,0.19329,0.38318
24,0.38001,0.18739,0.39843
25,0.37729,0.21517,0.40405
26,0.39164,0.19804,0.39358
27,0.3925,0.21933,0.3841
28,0.39201,0.20985,0.3867
29,0.40839,0.20518,0.40845
30,0.39549,0.25171,0.41239
31,0.37946,0.22542,0.40918
32,0.40447,0.23798,0.38598
33,0.38676,0.23055,0.39909
34,0.40627,0.24403,0.40454
35,0.40123,0.24932,0.39736
36,0.3996,0.2541,0.41906
37,0.40439,0.2513,0.41655
38,0.41671,0.27134,0.42313
39,0.41798,0.25846,0.40242
40,0.40743,0.2532,0.40652
41,0.37411,0.28645,0.41513
42,0.41287,0.28158,0.4247
43,0.41743,0.28386,0.42936
44,0.40464,0.27803,0.40693
45,0.41261,0.27945,0.42637
46,0.41191,0.28165,0.42401
47,0.41985,0.28797,0.43283
48,0.42535,0.27901,0.41895
49,0.41579,0.29337,0.41881
50,0.42507,0.28596,0.43411
51,0.43065,0.28698,0.43036
52,0.4193,0.26037,0.43947
53,0.42913,0.25235,0.43301
54,0.43803,0.28957,0.42183
55,0.4245,0.28279,0.42417
56,0.4333,0.26822,0.43953
57,0.42165,0.27581,0.43714
58,0.43119,0.29634,0.43662
59,0.43869,0.29557,0.43934
60,0.43875,0.30989,0.43045
61,0.44147,0.29663,0.43166
62,0.43548,0.25086,0.41713
63,0.43545,0.28526,0.4486
64,0.43342,0.27291,0.45213
65,0.43057,0.2893,0.44034
66,0.44112,0.2716,0.4317
67,0.44267,0.26612,0.44772
68,0.43801,0.29483,0.44474
69,0.43659,0.27581,0.44188
70,0.44204,0.29756,0.44906
71,0.44587,0.26895,0.44336
72,0.4326,0.29139,0.44129
73,0.44409,0.29314,0.44691
74,0.4376,0.24235,0.44498
75,0.43968,0.30021,0.44559
76,0.44378,0.28929,0.45258
77,0.43588,0.27132,0.44763
78,0.4373,0.2785,0.44835
79,0.44306,0.24939,0.45949
80,0.43674,0.30769,0.44998
81,0.45443,0.26942,0.45195
82,0.44705,0.28629,0.45134
83,0.45135,0.26351,0.46065
84,0.44721,0.27174,0.44723
85,0.44454,0.29672,0.45733
86,0.45125,0.28712,0.46196
87,0.44803,0.28654,0.45802
88,0.45009,0.29831,0.45921
89,0.44961,0.26225,0.46389
90,0.44635,0.298,0.45531
91,0.4444,0.30418,0.45817
92,0.44509,0.30172,0.4582
93,0.45121,0.31309,0.46722
94,0.44947,0.30828,0.46216
95,0.45331,0.30179,0.46836
96,0.45179,0.30804,0.46289
97,0.44929,0.28835,0.46543
98,0.45162,0.30455,0.46248
99,0.45124,0.31602,0.46372
100,,,
101,,,
102,,,
103,,,
104,,,
