epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,122.237,2.03695,2.82205,1.5852,0.52911,0.34164,0.38839,0.14986,1.83297,4.37792,1.47975,0.000549997,0.000549997,0.000549997
2,151.087,1.91126,2.12761,1.53833,0.49837,0.49592,0.48007,0.20059,1.80973,3.71982,1.63243,0.00109472,0.00109472,0.00109472
3,180.198,1.86484,1.91183,1.52494,0.56922,0.54794,0.5254,0.21382,1.84982,6.62749,1.64023,0.00162844,0.00162844,0.00162844
4,210.048,1.87901,1.83693,1.51207,0.45511,0.58401,0.48649,0.19903,1.77097,2.76498,1.50275,0.00161749,0.00161749,0.00161749
5,238.58,1.82365,1.71985,1.49053,0.56862,0.55504,0.55487,0.23932,1.75371,7.42562,1.46941,0.00160099,0.00160099,0.00160099
6,268.344,1.78682,1.63466,1.45947,0.65092,0.58714,0.6233,0.28313,1.73457,1.93296,1.46379,0.00158448,0.00158448,0.00158448
7,297.084,1.76256,1.56586,1.4653,0.62981,0.54724,0.58742,0.2618,1.78969,4.413,1.55467,0.00156798,0.00156798,0.00156798
8,327.183,1.74056,1.50921,1.44744,0.66006,0.61677,0.65298,0.31389,1.65955,1.78216,1.42225,0.00155148,0.00155148,0.00155148
9,354.947,1.73096,1.47378,1.42946,0.66304,0.61862,0.65087,0.30221,1.66139,1.61419,1.40767,0.00153497,0.00153497,0.00153497
10,386.12,1.70776,1.43122,1.40573,0.70715,0.63949,0.7075,0.34092,1.62804,2.06117,1.38044,0.00151847,0.00151847,0.00151847
11,413.533,1.71099,1.46071,1.443,0.65097,0.64181,0.6692,0.3022,1.66002,1.51292,1.42385,0.00150197,0.00150197,0.00150197
12,444.093,1.69555,1.38815,1.40801,0.70125,0.68035,0.71731,0.33761,1.6183,1.34206,1.39824,0.00148546,0.00148546,0.00148546
13,470.963,1.65999,1.41715,1.38305,0.6895,0.65556,0.70222,0.34906,1.63742,1.60452,1.38521,0.00146896,0.00146896,0.00146896
14,501.915,1.65715,1.3614,1.37115,0.72289,0.62593,0.68509,0.33682,1.58199,1.40541,1.36727,0.00145246,0.00145246,0.00145246
15,529.065,1.64072,1.30713,1.38038,0.71829,0.67092,0.72795,0.36406,1.56673,1.23774,1.34287,0.00143595,0.00143595,0.00143595
16,559.079,1.64309,1.31034,1.38471,0.69764,0.67241,0.71335,0.35871,1.57214,2.69017,1.37278,0.00141945,0.00141945,0.00141945
17,586.081,1.61542,1.29619,1.3705,0.70193,0.63503,0.69453,0.34669,1.63268,1.39613,1.39951,0.00140295,0.00140295,0.00140295
18,616.033,1.61513,1.26495,1.35899,0.73268,0.70247,0.7457,0.39127,1.50358,1.44398,1.33205,0.00138644,0.00138644,0.00138644
19,642.75,1.59393,1.22949,1.36058,0.70534,0.69138,0.73933,0.38276,1.53362,1.18141,1.34401,0.00136994,0.00136994,0.00136994
20,672.253,1.59235,1.24432,1.35479,0.72942,0.65774,0.73191,0.37488,1.55308,1.19116,1.33632,0.00135344,0.00135344,0.00135344
21,699.293,1.59923,1.23698,1.35335,0.70557,0.69437,0.74264,0.36962,1.57587,1.239,1.35915,0.00133693,0.00133693,0.00133693
22,728.407,1.61934,1.22891,1.35169,0.74823,0.68117,0.75176,0.37859,1.55534,1.15783,1.34091,0.00132043,0.00132043,0.00132043
23,755.812,1.57124,1.19245,1.328,0.74377,0.67901,0.7503,0.38243,1.54531,1.47034,1.34643,0.00130393,0.00130393,0.00130393
24,784.859,1.57708,1.22081,1.33068,0.73897,0.67283,0.74846,0.38318,1.55027,1.25176,1.35836,0.00128742,0.00128742,0.00128742
25,812.717,1.5495,1.17617,1.30818,0.72782,0.71241,0.7653,0.39843,1.52607,1.23655,1.30876,0.00127092,0.00127092,0.00127092
26,841.727,1.57211,1.16971,1.33985,0.73607,0.69921,0.76028,0.40405,1.48999,1.11988,1.30657,0.00125442,0.00125442,0.00125442
27,869.168,1.56434,1.17911,1.33492,0.73247,0.68988,0.75893,0.39358,1.51548,1.13231,1.31223,0.00123791,0.00123791,0.00123791
28,897.557,1.55204,1.15304,1.32599,0.76343,0.65797,0.74907,0.3841,1.53046,2.01843,1.32187,0.00122141,0.00122141,0.00122141
29,925.266,1.55684,1.16463,1.3178,0.70495,0.68203,0.74366,0.3867,1.50862,1.59645,1.32898,0.00120491,0.00120491,0.00120491
30,953.72,1.54025,1.14037,1.30703,0.7674,0.67483,0.76332,0.40845,1.48762,1.17174,1.30685,0.0011884,0.0011884,0.0011884
31,982.045,1.53088,1.12225,1.31922,0.7508,0.70158,0.7701,0.41239,1.4966,1.09733,1.31243,0.0011719,0.0011719,0.0011719
32,1010.37,1.49878,1.08528,1.28517,0.71873,0.73298,0.7693,0.40918,1.48219,1.52277,1.29484,0.0011554,0.0011554,0.0011554
33,1038.29,1.5353,1.14181,1.3007,0.74991,0.68396,0.75289,0.38598,1.52469,1.1979,1.31512,0.00113889,0.00113889,0.00113889
34,1066.75,1.50372,1.11099,1.28177,0.7326,0.71722,0.75852,0.39909,1.51429,1.11195,1.31527,0.00112239,0.00112239,0.00112239
35,1094.17,1.46896,1.11924,1.2632,0.73387,0.69899,0.76455,0.40454,1.49169,1.14442,1.29344,0.00110589,0.00110589,0.00110589
36,1123.66,1.52485,1.11861,1.30301,0.76028,0.69472,0.76847,0.39736,1.49385,1.29208,1.30525,0.00108938,0.00108938,0.00108938
37,1150.55,1.51378,1.11852,1.29806,0.73883,0.72797,0.78268,0.41906,1.48817,1.10749,1.29099,0.00107288,0.00107288,0.00107288
38,1179.94,1.48663,1.05907,1.27664,0.7568,0.71038,0.78329,0.41655,1.4724,1.02437,1.29845,0.00105638,0.00105638,0.00105638
39,1206.6,1.49164,1.04897,1.27085,0.74297,0.7144,0.77822,0.42313,1.49437,1.08666,1.29496,0.00103987,0.00103987,0.00103987
40,1236.52,1.5045,1.06476,1.28492,0.74714,0.71058,0.77435,0.40242,1.50816,1.11238,1.31395,0.00102337,0.00102337,0.00102337
41,1262.67,1.47647,1.03858,1.26971,0.75268,0.72743,0.76965,0.40652,1.50431,1.61788,1.31926,0.00100687,0.00100687,0.00100687
42,1292.81,1.48419,1.04975,1.27089,0.75186,0.70987,0.77471,0.41513,1.48395,1.06929,1.29563,0.000990365,0.000990365,0.000990365
43,1319.17,1.46529,1.0166,1.25412,0.77079,0.72165,0.78307,0.4247,1.49924,1.08686,1.31519,0.000973861,0.000973861,0.000973861
44,1349.6,1.47576,1.01189,1.26212,0.7637,0.71413,0.79323,0.42936,1.46984,1.07223,1.29343,0.000957358,0.000957358,0.000957358
45,1376.45,1.46899,1.0419,1.25121,0.75523,0.72226,0.78468,0.40693,1.48735,1.04995,1.29087,0.000940855,0.000940855,0.000940855
46,1406.92,1.44859,1.02289,1.26824,0.75835,0.71222,0.78615,0.42637,1.46999,1.0194,1.29324,0.000924352,0.000924352,0.000924352
47,1433.43,1.43765,0.99618,1.25098,0.75619,0.70929,0.77819,0.42401,1.47427,1.01708,1.30053,0.000907848,0.000907848,0.000907848
48,1463.65,1.44066,0.99081,1.24152,0.77075,0.7235,0.797,0.43283,1.45921,1.00796,1.28445,0.000891345,0.000891345,0.000891345
49,1489.99,1.43243,0.98483,1.24002,0.76947,0.73167,0.79454,0.41895,1.48897,1.2423,1.3046,0.000874842,0.000874842,0.000874842
50,1519.9,1.41045,0.99569,1.24943,0.77759,0.69863,0.78168,0.41881,1.46729,1.04522,1.29306,0.000858338,0.000858338,0.000858338
51,1546.91,1.40473,0.99466,1.23862,0.77649,0.72033,0.79571,0.43411,1.47084,1.02366,1.29612,0.000841835,0.000841835,0.000841835
52,1576.46,1.41337,0.96774,1.24619,0.78225,0.72962,0.7965,0.43036,1.46444,0.95433,1.28285,0.000825332,0.000825332,0.000825332
53,1603.55,1.40543,0.96874,1.23495,0.79466,0.73179,0.80353,0.43947,1.45605,0.97365,1.27339,0.000808828,0.000808828,0.000808828
54,1632.15,1.41773,0.95998,1.23402,0.76901,0.70632,0.79509,0.43301,1.48691,0.97661,1.30072,0.000792325,0.000792325,0.000792325
55,1660.77,1.40687,0.96909,1.22816,0.78753,0.71747,0.79112,0.42183,1.47853,0.99026,1.29782,0.000775822,0.000775822,0.000775822
56,1688.2,1.37847,0.96892,1.21839,0.74841,0.72779,0.78559,0.42417,1.46308,0.97219,1.29911,0.000759318,0.000759318,0.000759318
57,1717.41,1.35362,0.93573,1.21441,0.76933,0.72971,0.80163,0.43953,1.45029,0.93957,1.27548,0.000742815,0.000742815,0.000742815
58,1744.67,1.37355,0.93891,1.22805,0.75919,0.74362,0.80361,0.43714,1.45758,0.99484,1.28188,0.000726312,0.000726312,0.000726312
59,1774.44,1.38555,0.90819,1.22539,0.78664,0.72352,0.80609,0.43662,1.46365,0.96052,1.27718,0.000709809,0.000709809,0.000709809
60,1801.15,1.36723,0.93536,1.21603,0.79283,0.71538,0.80365,0.43934,1.45231,0.94506,1.28344,0.000693305,0.000693305,0.000693305
61,1831.42,1.37382,0.93462,1.22584,0.75304,0.73554,0.79242,0.43045,1.45312,0.9743,1.28189,0.000676802,0.000676802,0.000676802
62,1858.06,1.33584,0.90325,1.20106,0.75391,0.74457,0.79741,0.43166,1.45842,0.94359,1.27958,0.000660299,0.000660299,0.000660299
63,1888.61,1.36035,0.91352,1.19754,0.78857,0.72165,0.78906,0.41713,1.49767,0.98704,1.32123,0.000643795,0.000643795,0.000643795
64,1915.26,1.35193,0.90142,1.19706,0.7723,0.73843,0.80852,0.4486,1.44087,0.92848,1.27109,0.000627292,0.000627292,0.000627292
65,1945.42,1.34833,0.89277,1.19572,0.78724,0.73787,0.81879,0.45213,1.41678,0.98166,1.26281,0.000610789,0.000610789,0.000610789
66,1972.24,1.35398,0.90267,1.20611,0.7651,0.74719,0.80428,0.44034,1.45318,0.9626,1.29275,0.000594286,0.000594286,0.000594286
