yolov5,yolov6,yolov8
0.88097,0.71069,0.69179
0.90049,0.81787,0.81
0.90873,0.85118,0.84078
0.8857,0.84421,0.87587
0.89872,0.86165,0.89723
0.92105,0.90031,0.90685
0.91942,0.90315,0.91771
0.92009,0.90248,0.93701
0.95079,0.90746,0.93586
0.94507,0.9184,0.92846
0.94412,0.92488,0.94359
0.94533,0.93055,0.93784
0.94428,0.92822,0.94599
0.94888,0.93561,0.94918
0.94903,0.92386,0.95057
0.95998,0.94541,0.95387
0.95975,0.94337,0.95213
0.95499,0.94491,0.95366
0.95344,0.94773,0.95723
0.96296,0.94941,0.95311
0.96233,0.94796,0.95573
0.9651,0.95,0.95705
0.96088,0.95118,0.95555
0.96507,0.95337,0.95826
0.96346,0.95442,0.95932
0.96352,0.95154,0.96382
0.97011,0.95999,0.96551
0.96513,0.95569,0.96429
0.96922,0.95775,0.96603
0.97002,0.96023,0.96557
0.96978,0.95975,0.96598
0.97197,0.96056,0.96634
0.96839,0.95971,0.96609
0.97061,0.96171,0.96762
0.96991,0.96296,0.96819
0.96982,0.96127,0.96661
0.96946,0.96286,0.96891
0.97113,0.96482,0.97015
0.97035,0.96395,0.96932
0.97204,0.96462,0.96931
0.97144,0.96331,0.96987
0.97204,0.96435,0.97161
0.9721,0.96531,0.97057
0.96815,0.96589,0.97083
0.96434,0.96738,0.97118
0.9587,0.96719,0.97041
0.96077,0.96651,0.9722
0.96833,0.96689,0.97129
0.97052,0.96748,0.97132
0.97276,0.9679,0.97125
