                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.5056,                 2.7671,                 3.0977,                 0.6368,                0.69214,                0.69179,                0.31162,                 1.8736,                 1.8152,                 2.3287,             0.00055485,             0.00055485,             0.00055485
                      2,                 1.7896,                 1.5634,                 2.0996,                0.76752,                0.75632,                   0.81,                0.43567,                 1.6002,                 1.3362,                 2.0145,              0.0010885,              0.0010885,              0.0010885
                      3,                 1.6279,                 1.3088,                 1.9061,                 0.7934,                0.82291,                0.84078,                0.46627,                 1.5755,                 1.1743,                 1.8653,              0.0016002,              0.0016002,              0.0016002
                      4,                 1.5295,                 1.1819,                 1.8046,                0.81531,                0.84922,                0.87587,                0.52298,                 1.4498,                 1.0472,                 1.7963,               0.001568,               0.001568,               0.001568
                      5,                 1.4679,                 1.0991,                 1.7447,                0.84088,                0.85248,                0.89723,                0.54666,                 1.3863,                0.98833,                 1.7235,               0.001535,               0.001535,               0.001535
                      6,                 1.4201,                 1.0475,                 1.7012,                0.86718,                0.85881,                0.90685,                0.55749,                  1.387,                 0.9214,                 1.6646,               0.001502,               0.001502,               0.001502
                      7,                 1.3934,                 1.0122,                 1.6693,                0.86849,                0.87371,                0.91771,                 0.5836,                 1.3078,                0.88103,                    1.6,               0.001469,               0.001469,               0.001469
                      8,                 1.3588,                0.97874,                 1.6417,                0.88337,                0.89515,                0.93701,                0.60236,                  1.284,                0.84468,                 1.5924,               0.001436,               0.001436,               0.001436
                      9,                 1.3366,                0.95174,                 1.6201,                0.89583,                0.88699,                0.93586,                0.60398,                 1.2769,                0.80303,                 1.5695,              0.0014029,              0.0014029,              0.0014029
                     10,                 1.3148,                0.92621,                 1.6022,                0.87055,                0.89412,                0.92846,                0.60973,                 1.2507,                0.80912,                 1.5493,              0.0013699,              0.0013699,              0.0013699
                     11,                 1.2967,                0.90992,                 1.5754,                0.90498,                0.89076,                0.94359,                0.61215,                 1.2465,                0.80311,                 1.5526,              0.0013369,              0.0013369,              0.0013369
                     12,                 1.2871,                0.89504,                 1.5703,                0.88605,                0.89595,                0.93784,                0.62969,                  1.198,                0.76928,                  1.487,              0.0013039,              0.0013039,              0.0013039
                     13,                 1.2719,                 0.8855,                 1.5522,                0.89726,                0.90113,                0.94599,                0.63634,                 1.1972,                0.74858,                 1.4912,              0.0012709,              0.0012709,              0.0012709
                     14,                 1.2479,                0.87224,                 1.5409,                0.90068,                0.90781,                0.94918,                0.63778,                 1.1739,                0.73992,                 1.4762,              0.0012379,              0.0012379,              0.0012379
