iter	Logloss
0	0.6721207303
1	0.6543083428
2	0.6402097551
3	0.6297128744
4	0.620319535
5	0.6115667456
6	0.6043091618
7	0.5992371014
8	0.5938330712
9	0.5888464701
10	0.5841856977
11	0.5799196445
12	0.5762601619
13	0.5734984403
14	0.5713703393
15	0.5689750377
16	0.5667104323
17	0.5653542603
18	0.5637738736
19	0.5628365507
20	0.561981807
21	0.5610719658
22	0.559824622
23	0.5585424442
24	0.5575532853
25	0.5564609802
26	0.5554814153
27	0.5538581061
28	0.5533748198
29	0.5522079927
30	0.5516193152
31	0.5510255052
32	0.5504805103
33	0.5497362617
34	0.5487692913
35	0.5482859871
36	0.5474028272
37	0.5465099067
38	0.5456636121
39	0.545423823
40	0.5446372903
41	0.5441376357
42	0.5433074615
43	0.5429174184
44	0.542610731
45	0.5423744895
46	0.5420743396
47	0.5417927576
48	0.5413114222
49	0.5408831627
50	0.5401000121
51	0.5400060386
52	0.5393946219
53	0.5384846794
54	0.5381444202
55	0.5369627521
56	0.5362248447
57	0.53526983
58	0.5346545889
59	0.5344348839
60	0.5336152812
61	0.5333150398
62	0.532757509
63	0.5325592868
64	0.5322918223
65	0.5319303709
66	0.5313386535
67	0.5308394323
68	0.5297111752
69	0.5295494422
70	0.5291885245
71	0.5289271691
72	0.5287118881
73	0.5280641835
74	0.5276986157
75	0.5272394345
76	0.5266821865
77	0.5263056794
78	0.5261777733
79	0.5254888528
80	0.5252320847
81	0.5248328795
82	0.5237446454
83	0.5233079562
84	0.5230034307
85	0.522696753
86	0.522304521
87	0.5218577951
88	0.5215263369
89	0.521354682
90	0.5210304272
91	0.5206931842
92	0.5200901499
93	0.5197552653
94	0.5190243463
95	0.5185296214
96	0.5181774685
97	0.5178052041
98	0.5171188481
99	0.5169003653
