iter	Passed	Remaining
0	131	13007
1	132	6480
2	133	4305
3	134	3217
4	134	2563
5	135	2127
6	136	1814
7	137	1579
8	138	1396
9	139	1251
10	139	1131
11	140	1031
12	141	946
13	142	873
14	142	810
15	143	754
16	144	706
17	145	662
18	146	623
19	147	588
20	147	556
21	148	526
22	149	500
23	150	475
24	150	452
25	151	432
26	152	412
27	153	394
28	154	377
29	155	361
30	155	346
31	156	332
32	157	319
33	158	307
34	159	295
35	160	284
36	160	274
37	161	263
38	162	254
39	163	244
40	164	236
41	165	227
42	165	219
43	166	212
44	167	204
45	168	197
46	168	190
47	169	183
48	170	177
49	171	171
50	172	165
51	172	159
52	173	154
53	174	148
54	175	143
55	176	138
56	176	133
57	177	128
58	178	124
59	179	119
60	180	115
61	181	110
62	181	106
63	182	102
64	183	98
65	184	95
66	185	91
67	186	87
68	186	83
69	187	80
70	188	76
71	189	73
72	190	70
73	190	67
74	191	63
75	192	60
76	193	57
77	193	54
78	194	51
79	195	48
80	196	46
81	197	43
82	198	40
83	199	37
84	199	35
85	200	32
86	201	30
87	202	27
88	203	25
89	203	22
90	204	20
91	205	17
92	206	15
93	206	13
94	207	10
95	208	8
96	209	6
97	210	4
98	210	2
99	211	0
